source_column,import_id,question,classification,decision_reason,valid_n,missing_n,distinct_nonmissing_n,agreement_label_recognized_n,agreement_label_recognized_pct,raw_code_direction,numeric_code_mode,paired_export_equivalent
Q4,QID24_TEXT,"Standards implemented : Which ERC standards have you implemented or interacted frequently, please list all?",text_or_identifier,Explicitly excluded from Likert analysis; high-cardinality text,57,24,50,0,0.0,not_applicable,False,
Q5_1,QID25_1,"ERC specifications: - Specification Clarity: I find ERC standard specifications clear and easy to implement. ERC specifications clearly define the expected behaviour, required functions, events, return values, and edge cases needed for a correct implementation.",likert,All observed response labels are five-point agreement categories,69,12,5,69,1.0,not_applicable: scored directly from labels,False,
Q5_2,QID25_2,"ERC specifications: - Implementation Guidance: ERC documentation provides enough implementation guidance to help developers avoid common mistakes, ambiguous interpretations, and incomplete implementations.",likert,All observed response labels are five-point agreement categories,69,12,5,69,1.0,not_applicable: scored directly from labels,False,
Q5_3,QID25_6,"ERC specifications: - Security Guidance: ERC specifications sufficiently explain the security implications of implementation choices, including approvals, hooks, signatures, replay protection, and interoperability assumptions.",likert,All observed response labels are five-point agreement categories,26,55,5,26,1.0,not_applicable: scored directly from labels,False,
Q5_4,QID24_4,"ERC specifications: - Ambiguity and Interpretation: I have encountered cases where different developers, auditors, tools, wallets, or marketplaces interpret the same ERC requirement differently.",likert,All observed response labels are five-point agreement categories,69,12,5,69,1.0,not_applicable: scored directly from labels,False,
Q5_5,QID25_4,"ERC specifications: - Compatibility Risk: Ambiguities or missing details in ERC specifications can lead to compatibility issues across wallets, dApps, marketplaces, bridges, or other smart contracts.",likert,All observed response labels are five-point agreement categories,69,12,5,69,1.0,not_applicable: scored directly from labels,False,
Q5_6(New)—-Q5_3(Old),QID25_3,ERC specifications: - I regularly verify my implementations against official standard specifications,likert,All observed response labels are five-point agreement categories,38,43,4,38,1.0,not_applicable: scored directly from labels,False,
Q6,QID44,"Security prioritisation: When selecting or implementing an ERC standard, I explicitly evaluate its security implications, including approval scope, signature/replay risks, receiver-hook behavior, dependency requirements, and interoperability impact, rather than choosing the standard based only on functionality, popularity, or gas efficiency.",likert,All observed response labels are five-point agreement categories,69,12,4,69,1.0,not_applicable: scored directly from labels,False,
Q7,QID45,"Practice: When implementing ERC-based smart contracts, I often rely on existing deployed contracts, widely used code templates as implementation guides, rather than reading all specifications manually from scratch to implement.",likert,All observed response labels are five-point agreement categories,68,13,5,68,1.0,not_applicable: scored directly from labels,False,
Q8,QID7,"When implementing ERC-based smart contracts, I explicitly verify that all mandatory standard dependencies are correctly implemented and semantically compatible. For example, ERC-721 and ERC-1155 rely on ERC-165 interface detection to support interoperability with wallets, marketplaces, and other contracts; therefore, missing or incorrect dependency implementation may cause compatibility failures or security-relevant integration errors.


Reference links :

https://eips.ethereum.org/EIPS/eip-1155,
https://eips.ethereum.org/EIPS/eip-721",likert,All observed response labels are five-point agreement categories,65,16,4,65,1.0,not_applicable: scored directly from labels,False,
Q9_1,QID10,"Dependency Impact: Correct implementation of EIP dependencies is essential for both interoperability and security. For example, ERC-2612 `permit` depends on EIP-712 domain-separated signing; incorrect construction of the signing domain can turn a compatibility issue into a replay or unauthorized-approval risk.",likert,All observed response labels are five-point agreement categories,65,16,3,65,1.0,not_applicable: scored directly from labels,False,
Q9_2(New)——-Q12(Old),QID11,How strongly do you agree or disagree : I often verify that all mandatory ERC dependencies are fully and correctly implemented before deployment.,likert,All observed response labels are five-point agreement categories,35,46,5,35,1.0,not_applicable: scored directly from labels,False,
Q9_3(New)—-Q9(Old),QID43,"Value of targeted function analysis :
Analysing specific targeted functions (e.g. batch transfers, approvals) for compliance and security is more valuable than running general vulnerability scans. Example being a targeted research for vulnerabilities on ""safeBatchTransferFrom"", ""setApprovalForAll"", etc...",likert,All observed response labels are five-point agreement categories,38,43,4,38,1.0,not_applicable: scored directly from labels,False,
Q10,QID12,"I have intentionally implemented a partial ERC specification when certain functions, events, interfaces, or dependency requirements were unnecessary for my use case, after assessing that the deviation would not break interoperability or introduce security risks.",likert,All observed response labels are five-point agreement categories,65,16,5,65,1.0,not_applicable: scored directly from labels,False,
Q11_1,QID48_1,"Dependency Management and Interoperability :
Please indicate your level of agreement with the following statements. - Dependency Discoverability: I find it easy to identify which ERC standards, interfaces, extensions, or EIPs my contract must support in order to remain compliant and interoperable.",likert,All observed response labels are five-point agreement categories,64,17,5,64,1.0,not_applicable: scored directly from labels,False,
Q11_2,QID48_2,"Dependency Management and Interoperability :
Please indicate your level of agreement with the following statements. - Interoperability Failures: I have encountered interoperability issues due to missing ERC dependencies.",likert,All observed response labels are five-point agreement categories,64,17,5,64,1.0,not_applicable: scored directly from labels,False,
Q11_3,QID48_3,"Dependency Management and Interoperability :
Please indicate your level of agreement with the following statements. - Multi-Chain Deployment: I have deployed or integrated ERC-based smart contracts across multiple EVM-compatible chains, where differences in chainId, infrastructure, or ecosystem assumptions can affect compatibility and security.",likert,All observed response labels are five-point agreement categories,64,17,5,64,1.0,not_applicable: scored directly from labels,False,
Q11_4(New)———Q14_4(Old),QID48_4,"Dependency Management and Interoperability : - The current tooling (specification documents, tools) adequately supports developers in ERC dependency management where dependencies are clearly organised with mandatory specifications.",likert,All observed response labels are five-point agreement categories,34,47,5,34,1.0,not_applicable: scored directly from labels,False,
Q12_1,QID65_8,"Signature Construction Correctness:
Please rate your agreement with the following statements about signature-based authorisation in smart contracts, including ERC-20, ERC-712, ERC-2612 permit, ERC-1271, ERC-5267, and related mechanisms. - Specification Comprehension Gap: I find it difficult to determine from the EIP specifications alone whether a signature-based authorization implementation correctly handles ECDSA signatures, nonce usage, deadline checks, DOMAIN_SEPARATOR construction, and replay protection.",likert,All observed response labels are five-point agreement categories,67,14,7,67,1.0,not_applicable: scored directly from labels,False,
Q12_2,QID65_1,"Signature Construction Correctness:
Please rate your agreement with the following statements about signature-based authorisation in smart contracts, including ERC-20, ERC-712, ERC-2612 permit, ERC-1271, ERC-5267, and related mechanisms. - When constructing signature-based authorisation, I understand the complete flow from off-chain signature generation to on-chain verification and state update, including how permit, approve, transferFrom, and operator-based approvals interact.",likert,All observed response labels are five-point agreement categories,23,58,3,23,1.0,not_applicable: scored directly from labels,False,
Q12_3,QID65_3,"Signature Construction Correctness:
Please rate your agreement with the following statements about signature-based authorisation in smart contracts, including ERC-20, ERC-712, ERC-2612 permit, ERC-1271, ERC-5267, and related mechanisms. - I understand ERC specifications of ERC-712 and how the ERC-712 DOMAIN_SEPARATOR binds a signature to a specific authorisation domain at the wallet side using fields such as contract name, version, chainId, verifyingContract, and optional salt.",likert,All observed response labels are five-point agreement categories,23,58,5,23,1.0,not_applicable: scored directly from labels,False,
Q12_4,QID65_5,"Signature Construction Correctness:
Please rate your agreement with the following statements about signature-based authorisation in smart contracts, including ERC-20, ERC-712, ERC-2612 permit, ERC-1271, ERC-5267, and related mechanisms. - When implementing ERC-2612 permit logic, I agree that it is hard or require special knowledge to understand that nonce, deadline, spender/operator, token scope, amount, and authorization target are correctly enforced to prevent replay or unintended reuse.",likert,All observed response labels are five-point agreement categories,23,58,4,23,1.0,not_applicable: scored directly from labels,False,
Q12_5,QID65_4,"Signature Construction Correctness:
Please rate your agreement with the following statements about signature-based authorisation in smart contracts, including ERC-20, ERC-712, ERC-2612 permit, ERC-1271, ERC-5267, and related mechanisms. - I understand that signatures or off-chain authorizations may become replayable across chains, contracts, versions, proxies, forks, or deployment contexts if the domain separator is missing, incomplete, stale, or incorrectly constructed.",likert,All observed response labels are five-point agreement categories,23,58,5,23,1.0,not_applicable: scored directly from labels,False,
Q12_6,QID65_6,"Signature Construction Correctness:
Please rate your agreement with the following statements about signature-based authorisation in smart contracts, including ERC-20, ERC-712, ERC-2612 permit, ERC-1271, ERC-5267, and related mechanisms. - Replay Risk: I know the risks involved with cached stored domain separators, incorrect chainId and verifyingContract and its impact will lead to cross-chain and contract replay attacks and loss of money.",likert,All observed response labels are five-point agreement categories,23,58,5,23,1.0,not_applicable: scored directly from labels,False,
Q12_7,QID65_2,"Signature Construction Correctness:
Please rate your agreement with the following statements about signature-based authorisation in smart contracts, including ERC-20, ERC-712, ERC-2612 permit, ERC-1271, ERC-5267, and related mechanisms. - I often consider how wallets, marketplaces, bridges, relayers, and other external protocols interpret the signed message, displayed signing fields, approval scope, and resulting authorisation effect.",likert,All observed response labels are five-point agreement categories,23,58,5,23,1.0,not_applicable: scored directly from labels,False,
Q12_8,QID65_7,"Signature Construction Correctness:
Please rate your agreement with the following statements about signature-based authorisation in smart contracts, including ERC-20, ERC-712, ERC-2612 permit, ERC-1271, ERC-5267, and related mechanisms. - Mitigation: I would benefit from automated tools or audit checklists that specifically verify signature construction correctness, including domain separator fields, nonce/deadline handling, wallet interpretation, proxy behaviour, and replay resistance.",likert,All observed response labels are five-point agreement categories,23,58,5,23,1.0,not_applicable: scored directly from labels,False,
Q13_1,QID30_2,"ERC Specifications and Security Considerations : - Security vs Gas Optimisation: When implementing ERC standards, I prioritise specification correctness and security-preserving behaviour over gas optimisation when these goals conflict.",likert,All observed response labels are five-point agreement categories,62,19,5,62,1.0,not_applicable: scored directly from labels,False,
Q13_2,QID30_4,"ERC Specifications and Security Considerations : - Incorrect Standard Implementation: I have encountered, audited, or fixed security vulnerabilities caused by incorrect, incomplete, or inconsistent implementation of ERC standard requirements.",likert,All observed response labels are five-point agreement categories,62,19,5,62,1.0,not_applicable: scored directly from labels,False,
Q13_3,QID49,"ERC Specifications and Security Considerations : - Batch Transfer Risk: ERC-1155 batch-transfer functions such as safeBatchTransferFrom introduce amplified risk because a single incorrectly implemented call may affect multiple token IDs, balances, receiver checks, and state updates within one transaction.",likert,All observed response labels are five-point agreement categories,62,19,5,62,1.0,not_applicable: scored directly from labels,False,
Q13_4(New),QID30_1,Security Considerations : - I am aware of security pitfalls specific to each ERC standard I implement,likert,All observed response labels are five-point agreement categories,34,47,5,34,1.0,not_applicable: scored directly from labels,False,
Q13_5(New),QID30_3,Security Considerations : - I use specific security tools for ERC standard compliance checking,likert,All observed response labels are five-point agreement categories,34,47,5,34,1.0,not_applicable: scored directly from labels,False,
Q14_1,QID51,"Delegated Authorisation and Approval Propagation: Please indicate how much you agree or disagree:

When an owner grants approval to a spender or operator through mechanisms such as ERC-20 approve, ERC-2612 permit, or ERC-721/ERC-1155 setApprovalForAll, and this ""operator"" continues to provide further approvals to other operators with or without owners knowledge, do you agree that these delegated approvals authentic and valid cases?",likert,All observed response labels are five-point agreement categories,63,18,5,63,1.0,not_applicable: scored directly from labels,False,
Q14_2(New)———Q17(Old),QID52,"Please indicate how much you agree or disagree with the following statements regarding the ""setApprovalForAll"" (used in ERC-721, ERC-1155) function and its associated security risks.


I agree that with the specific phishing risks associated with setApprovalForAll, where a malicious actor (unauthorised operator) can trick a user into signing an order that exploits their existing, broad approval",likert,All observed response labels are five-point agreement categories,35,46,4,35,1.0,not_applicable: scored directly from labels,False,
Q15_1,QID69_1,"Please indicate your level of agreement with the following statements about approval-based authorisation mechanisms, including ERC-20 `approve`/`transferFrom`, ERC-2612 `permit`, and ERC-721/ERC-1155 `setApprovalForAll`, and their associated security risks. - Gravity of Risk: I believe the security risks posed by approvals are a critical not just a theoretical or edge-case problem. Approval-based mechanisms can expose users to phishing or misleading authorisation risks when permissions are broad, persistent with no deadline, poorly scoped, or difficult for wallets to display clearly.",likert,All observed response labels are five-point agreement categories,62,19,5,62,1.0,not_applicable: scored directly from labels,False,
Q15_2,QID69_2,"Please indicate your level of agreement with the following statements about approval-based authorisation mechanisms, including ERC-20 `approve`/`transferFrom`, ERC-2612 `permit`, and ERC-721/ERC-1155 `setApprovalForAll`, and their associated security risks. - Protocol-Level Problem: I consider the current approval implementation to be a fundamental misunderstanding risk in the ERC-20/721/1155 standards that should be addressed at the protocol level, not just through user education.",likert,All observed response labels are five-point agreement categories,63,18,5,63,1.0,not_applicable: scored directly from labels,False,
Q15_3,QID69_3,"Please indicate your level of agreement with the following statements about approval-based authorisation mechanisms, including ERC-20 `approve`/`transferFrom`, ERC-2612 `permit`, and ERC-721/ERC-1155 `setApprovalForAll`, and their associated security risks. - Mitigation - Time-Bound Approvals: Implementing an expiry mechanism for operator approvals (e.g., approveForAll(operator, expiryTimestamp)) would be a highly effective way to mitigate these risks.",likert,All observed response labels are five-point agreement categories,63,18,4,63,1.0,not_applicable: scored directly from labels,False,
Q15_4,QID69_4,"Please indicate your level of agreement with the following statements about approval-based authorisation mechanisms, including ERC-20 `approve`/`transferFrom`, ERC-2612 `permit`, and ERC-721/ERC-1155 `setApprovalForAll`, and their associated security risks. - Developer Responsibility: Smart contract developers building marketplaces or wallets have a responsibility to implement safeguards (e.g., clear warnings, default expiries) to protect users from this vulnerability.",likert,All observed response labels are five-point agreement categories,63,18,5,63,1.0,not_applicable: scored directly from labels,False,
Q16_1,QID54_5,"Smart Contract Development: Implementing Token Receiver Hooks - Implementation: ERC-721, ERC-1155, ERC-1363, ERC-777: I am aware and agree that for a smart contract to safely receive tokens, it MUST implement a tokensReceived, onERC1155BatchReceived, and onTransferReceived hook as a critical safeguard for the function.",likert,All observed response labels are five-point agreement categories,63,18,9,63,1.0,not_applicable: scored directly from labels,False,
Q16_2,QID54_1,Smart Contract Development: Implementing Token Receiver Hooks - Risk - Re-entrancy: I agree that these receiver hooks introduce a major re-entrancy attack vector and must be designed with the checks-effects-interactions pattern in mind.,likert,All observed response labels are five-point agreement categories,62,19,4,62,1.0,not_applicable: scored directly from labels,False,
Q16_3,QID54_2,Smart Contract Development: Implementing Token Receiver Hooks - Risk - Token Lock/Loss: I understand that failing to implement receiver hooks functions will result in transferred tokens being permanently locked and unrecoverable in the recipient contract for these standards.,likert,All observed response labels are five-point agreement categories,61,20,4,61,1.0,not_applicable: scored directly from labels,False,
Q16_4,QID54_3,"Smart Contract Development: Implementing Token Receiver Hooks - Development Diligence: In my own development, I meticulously check the token standard I am integrating and always implement the required receiver interface before deployment.",likert,All observed response labels are five-point agreement categories,61,20,5,61,1.0,not_applicable: scored directly from labels,False,
Q16_5(New)-Q21_4(Old),QID54_4,Smart Contract Development: Implementing Token Receiver Hooks - Testing: I rigorously test receiver hook implementations using fuzzers/invariants to simulate malicious token contracts and unexpected call paths.,likert,All observed response labels are five-point agreement categories,33,48,5,33,1.0,not_applicable: scored directly from labels,False,
Q17,QID18,"AI Agents and Agentic Economy: Please indicate your level of agreement with the following statement:


I am currently using, experimenting with, or planning to support AI-agent-related standards or mechanisms, such as ERC-8004 trustless agents, EIP-7702 account delegation, agent wallets, autonomous transaction execution, or agent-to-agent coordination. I believe these agentic-economy use cases will become increasingly important, but will also introduce new implementation and security challenges, including wallet-agent trust, accountability, and cross-contract interoperability.",likert,All observed response labels are five-point agreement categories,22,59,4,22,1.0,not_applicable: scored directly from labels,False,
Q18,QID68,"The growing number of ERC standards and extensions increases development complexity by making it harder to identify which specifications, dependencies, interfaces, and security assumptions must be implemented together for correct interoperability.",likert,All observed response labels are five-point agreement categories,62,19,8,62,1.0,not_applicable: scored directly from labels,False,
Q19_1,QID35_1,Future Outlook and Adoption - I am confident in adopting new ERC standards quickly,likert,All observed response labels are five-point agreement categories,61,20,5,61,1.0,not_applicable: scored directly from labels,False,
Q19_2,QID35_4,Future Outlook and Adoption - The ERC ecosystem is evolving in a developer-friendly direction,likert,All observed response labels are five-point agreement categories,61,20,4,61,1.0,not_applicable: scored directly from labels,False,
Q19_3(New—)Q22_1(Old),QID34_1,Tooling and Ecosystem Needs: - I would benefit from automated Security auditing frameworks and targeted analysis tools,likert,All observed response labels are five-point agreement categories,34,47,4,34,1.0,not_applicable: scored directly from labels,False,
participantId,participantId,participantId,non_likert,Categorical/ordinal but not a five-point agreement item,23,58,21,0,0.0,not_applicable,False,
assignmentId,assignmentId,assignmentId,non_likert,Categorical/ordinal but not a five-point agreement item,23,58,21,0,0.0,not_applicable,False,
projectId,projectId,projectId,non_likert,Categorical/ordinal but not a five-point agreement item,23,58,2,0,0.0,not_applicable,False,
