participant_row,source_csv_row,likert_answered_n,likert_total_items,likert_completion_pct,within_person_sample_sd,modal_response_share,longest_identical_run_in_question_order,automatic_exclusion,note
52,55,28,46,0.6086956521739131,0.9172076325837248,0.35714285714285715,5,False,Review with preregistered criteria; skip logic can create legitimate missingness.
53,56,28,46,0.6086956521739131,0.700528900717694,0.5714285714285714,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
54,57,28,46,0.6086956521739131,0.9946949227868761,0.5357142857142857,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
55,58,9,46,0.1956521739130435,0.5270462766947298,0.5555555555555556,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
56,59,37,46,0.8043478260869565,0.9656254099972892,0.4864864864864865,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
57,60,37,46,0.8043478260869565,0.7997747430618447,0.40540540540540543,7,False,Review with preregistered criteria; skip logic can create legitimate missingness.
58,61,37,46,0.8043478260869565,0.6855435580398739,0.6756756756756757,8,False,Review with preregistered criteria; skip logic can create legitimate missingness.
59,62,37,46,0.8043478260869565,0.6855435580398739,0.6756756756756757,10,False,Review with preregistered criteria; skip logic can create legitimate missingness.
60,63,37,46,0.8043478260869565,0.7893814813657102,0.4864864864864865,6,False,Review with preregistered criteria; skip logic can create legitimate missingness.
61,64,37,46,0.8043478260869565,0.7583370458279585,0.7027027027027027,7,False,Review with preregistered criteria; skip logic can create legitimate missingness.
62,65,37,46,0.8043478260869565,1.0397504898200727,0.32432432432432434,5,False,Review with preregistered criteria; skip logic can create legitimate missingness.
63,66,37,46,0.8043478260869565,1.1695588347184025,0.40540540540540543,8,False,Review with preregistered criteria; skip logic can create legitimate missingness.
64,67,37,46,0.8043478260869565,1.2393692089268784,0.35135135135135137,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
65,68,37,46,0.8043478260869565,1.1263963639717456,0.5405405405405406,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
66,69,37,46,0.8043478260869565,0.7681732162019773,0.5945945945945946,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
67,70,37,46,0.8043478260869565,1.0288627501073984,0.5405405405405406,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
68,71,37,46,0.8043478260869565,1.1021409686218524,0.5945945945945946,8,False,Review with preregistered criteria; skip logic can create legitimate missingness.
69,72,37,46,0.8043478260869565,0.7740149217548066,0.40540540540540543,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
70,73,37,46,0.8043478260869565,0.6575959492214292,0.6486486486486487,8,False,Review with preregistered criteria; skip logic can create legitimate missingness.
71,74,37,46,0.8043478260869565,0.7740149217548065,0.4864864864864865,3,False,Review with preregistered criteria; skip logic can create legitimate missingness.
72,75,37,46,0.8043478260869565,0.9856325235459064,0.5135135135135135,5,False,Review with preregistered criteria; skip logic can create legitimate missingness.
73,76,37,46,0.8043478260869565,0.4947168328900328,0.7837837837837838,8,False,Review with preregistered criteria; skip logic can create legitimate missingness.
74,77,37,46,0.8043478260869565,1.494735506447289,0.2972972972972973,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
75,78,37,46,0.8043478260869565,0.9323997905240913,0.5675675675675675,6,False,Review with preregistered criteria; skip logic can create legitimate missingness.
76,79,37,46,0.8043478260869565,0.4714045207910317,0.8648648648648649,10,False,Review with preregistered criteria; skip logic can create legitimate missingness.
77,80,37,46,0.8043478260869565,1.1270626736212457,0.5945945945945946,4,False,Review with preregistered criteria; skip logic can create legitimate missingness.
78,81,7,46,0.15217391304347827,1.1126972805283737,0.2857142857142857,2,False,Review with preregistered criteria; skip logic can create legitimate missingness.
79,82,13,46,0.2826086956521739,0.3755338080994054,0.8461538461538461,5,False,Review with preregistered criteria; skip logic can create legitimate missingness.
80,83,33,46,0.717391304347826,1.0453721970202912,0.3939393939393939,6,False,Review with preregistered criteria; skip logic can create legitimate missingness.
81,84,13,46,0.2826086956521739,1.3252962900462133,0.38461538461538464,5,False,Review with preregistered criteria; skip logic can create legitimate missingness.
